# Datum / Zeit: (Anfang) 03.06.2014 12:25:16 (Ende)  03.06.2014 12:35:42
#
# Einstellungen: 
# Start:      AUX1 -0.050000 V 
# End1:       AUX1 0.600000 V 
# Step1:      AUX1 0.002000 V 
# Holdtime:   AUX1 1001.000000 ms (Wartezeit nach dem Einstellen; automatisch erhöhen)
#
# aktuell:    AUX2 0.000000 V 
# Start:      AUX2 0.000000 V 
# End1:       AUX2 0.000000 V 
# Step1:      AUX2 0.000000 V 
# Holdtime:   AUX2 5001.000000 ms (Abstand der Datenpunkte)
#
#
#
#
#
#
#
#
#
# AUX3: 0.000000 V
# AUX4: 0.000000 V
#
# B-Feld nicht abwarten; B-Feld nicht abschalten
#
# time constant: 0.100000 s
# sensitivity: 1V/µA
# dyn reserve: high reserve
# slope: 18 dB/oct
# sync filter: off
# line filter: off
#
# Input:  I (1E+6)
# ground: ground
# couple: AC
#
# Lock-In - automeasure: off
# ref. phase.:   0.00
# ref. source: intern
# osc. harm#: 1.000000
# osc. freq.: 433.000000
# osc. ampl.: 0.004000
# ref. trigger: sine
#
# Channel 1
# display: X
# ratio: none
# output: X
#
# Channel 2
# display: Y
# ratio: none
# output: Y
#
# off. & exp.
# X:  offset = 0.000000;  expand = none
# Y:  offset = 0.000000;  expand = none
# R:  offset = 0.000000;  expand = none
#
# Spannungsteilerfaktor Aux1:        Kein Teiler verwendet
# Spannungsteilerfaktor Aux2:        Kein Teiler verwendet
# Spannungsteilerfaktor Aux3:        Kein Teiler verwendet
# Spannungsteilerfaktor Aux4:        Kein Teiler verwendet
#
# Spannungsteilerfaktor Osc. Ampl.:  100.000000
# Spannungsteilerfaktor Messeingang: 10.000000
#
# Korrektur von Aux1 (Aux1' = Aux1 + X*Aux2*(Teiler Aux1/Teiler Aux2) mit  X = 0; keine Korrektur
# Korrektur von Aux2 (Aux2' = Aux2 + X*Aux1*(Teiler Aux2/Teiler Aux1) mit  X = 0; keine Korrektur
#
#
#
#
#
#
#
# Bemerkungen: keine Bemerkungen
#
#
#
#
#
#
#
#
#
#               Aux1,                Aux2,               Re(I),               Im(I),               Aux1',               Aux2',              Re(I)',              Im(I)'
#                 U1,                  U2,               Re(I),               Im(I),           U1/Teiler,           U2/Teiler,      Re(I)/osc.Ampl,      Im(I)/osc.Ampl
         -5.00000E-2,          0.00000E+0,         4.32989E-14,        -7.38302E-13,         -5.00000E-2,          0.00000E+0,          1.08247E-8,         -1.84575E-7
         -4.80000E-2,          0.00000E+0,        -1.69643E-13,        -8.26676E-13,         -4.80000E-2,          0.00000E+0,         -4.24108E-8,         -2.06669E-7
         -4.60000E-2,          0.00000E+0,         2.68898E-13,         6.18842E-13,         -4.60000E-2,          0.00000E+0,          6.72245E-8,          1.54710E-7
         -4.40000E-2,          0.00000E+0,         4.58524E-14,        -8.95954E-14,         -4.40000E-2,          0.00000E+0,          1.14631E-8,         -2.23988E-8
         -4.20000E-2,          0.00000E+0,        -4.12783E-13,        -8.81521E-14,         -4.20000E-2,          0.00000E+0,         -1.03196E-7,         -2.20380E-8
         -4.00000E-2,          0.00000E+0,         5.08486E-13,        -5.24917E-13,         -4.00000E-2,          0.00000E+0,          1.27122E-7,         -1.31229E-7
         -3.80000E-2,          0.00000E+0,        -1.09801E-13,        -3.87914E-13,         -3.80000E-2,          0.00000E+0,         -2.74503E-8,         -9.69785E-8
         -3.60000E-2,          0.00000E+0,         5.02712E-13,         4.17446E-13,         -3.60000E-2,          0.00000E+0,          1.25678E-7,          1.04362E-7
         -3.40000E-2,          0.00000E+0,        -3.08755E-13,         2.50690E-13,         -3.40000E-2,          0.00000E+0,         -7.71887E-8,          6.26725E-8
         -3.20000E-2,          0.00000E+0,        -7.70499E-14,         6.76629E-13,         -3.20000E-2,          0.00000E+0,         -1.92625E-8,          1.69157E-7
         -3.00000E-2,          0.00000E+0,         2.50024E-13,         5.52450E-13,         -3.00000E-2,          0.00000E+0,          6.25060E-8,          1.38112E-7
         -2.80000E-2,          0.00000E+0,         3.39952E-13,        -2.60460E-13,         -2.80000E-2,          0.00000E+0,          8.49880E-8,         -6.51150E-8
         -2.60000E-2,          0.00000E+0,         8.18571E-13,        -4.95663E-13,         -2.60000E-2,          0.00000E+0,          2.04643E-7,         -1.23916E-7
         -2.40000E-2,          0.00000E+0,        -9.58129E-13,        -1.16530E-12,         -2.40000E-2,          0.00000E+0,         -2.39532E-7,         -2.91325E-7
         -2.20000E-2,          0.00000E+0,         2.98652E-14,        -7.97144E-13,         -2.20000E-2,          0.00000E+0,          7.46630E-9,         -1.99286E-7
         -2.00000E-2,          0.00000E+0,        -7.35970E-13,        -3.49167E-14,         -2.00000E-2,          0.00000E+0,         -1.83993E-7,         -8.72917E-9
         -1.80000E-2,          0.00000E+0,         7.71275E-13,        -1.01098E-12,         -1.80000E-2,          0.00000E+0,          1.92819E-7,         -2.52745E-7
         -1.60000E-2,          0.00000E+0,        -4.41870E-13,        -4.98827E-13,         -1.60000E-2,          0.00000E+0,         -1.10468E-7,         -1.24707E-7
         -1.40000E-2,          0.00000E+0,         1.46217E-12,         4.88724E-13,         -1.40000E-2,          0.00000E+0,          3.65542E-7,          1.22181E-7
         -1.20000E-2,          0.00000E+0,         7.71566E-12,         2.53133E-13,         -1.20000E-2,          0.00000E+0,          1.92892E-6,          6.32833E-8
         -1.00000E-2,          0.00000E+0,         3.56517E-11,         2.22045E-13,         -1.00000E-2,          0.00000E+0,          8.91292E-6,          5.55112E-8
         -8.00000E-3,          0.00000E+0,         7.89560E-11,        -3.41062E-13,         -8.00000E-3,          0.00000E+0,          1.97390E-5,         -8.52655E-8
         -6.00000E-3,          0.00000E+0,         1.01480E-10,        -5.82649E-13,         -6.00000E-3,          0.00000E+0,          2.53700E-5,         -1.45662E-7
         -4.00000E-3,          0.00000E+0,         1.15449E-10,        -5.04489E-13,         -4.00000E-3,          0.00000E+0,          2.88622E-5,         -1.26122E-7
         -2.00000E-3,          0.00000E+0,         1.22356E-10,        -5.54227E-13,         -2.00000E-3,          0.00000E+0,          3.05890E-5,         -1.38557E-7
         -0.00000E+0,          0.00000E+0,         1.31771E-10,        -1.15109E-12,        -1.73472E-18,          0.00000E+0,          3.29428E-5,         -2.87773E-7
          2.00000E-3,          0.00000E+0,         1.43118E-10,        -3.83695E-13,          2.00000E-3,          0.00000E+0,          3.57795E-5,         -9.59237E-8
          4.00000E-3,          0.00000E+0,         1.52675E-10,        -3.33957E-13,          4.00000E-3,          0.00000E+0,          3.81687E-5,         -8.34892E-8
          6.00000E-3,          0.00000E+0,         1.63795E-10,        -8.73971E-13,          6.00000E-3,          0.00000E+0,          4.09487E-5,         -2.18493E-7
          8.00000E-3,          0.00000E+0,         1.72599E-10,        -7.46073E-13,          8.00000E-3,          0.00000E+0,          4.31497E-5,         -1.86518E-7
          1.00000E-2,          0.00000E+0,         1.82262E-10,        -9.94767E-13,          1.00000E-2,          0.00000E+0,          4.55655E-5,         -2.48692E-7
          1.20000E-2,          0.00000E+0,         1.90398E-10,        -5.40016E-13,          1.20000E-2,          0.00000E+0,          4.75995E-5,         -1.35004E-7
          1.40000E-2,          0.00000E+0,         1.96317E-10,        -6.11070E-13,          1.40000E-2,          0.00000E+0,          4.90792E-5,         -1.52768E-7
          1.60000E-2,          0.00000E+0,         1.99820E-10,        -1.05872E-12,          1.60000E-2,          0.00000E+0,          4.99550E-5,         -2.64680E-7
          1.80000E-2,          0.00000E+0,         2.03173E-10,        -1.40688E-12,          1.80000E-2,          0.00000E+0,          5.07932E-5,         -3.51720E-7
          2.00000E-2,          0.00000E+0,         2.05433E-10,        -8.02917E-13,          2.00000E-2,          0.00000E+0,          5.13582E-5,         -2.00729E-7
          2.20000E-2,          0.00000E+0,         2.06577E-10,        -7.10547E-14,          2.20000E-2,          0.00000E+0,          5.16442E-5,         -1.77637E-8
          2.40000E-2,          0.00000E+0,         2.09483E-10,        -1.33583E-12,          2.40000E-2,          0.00000E+0,          5.23708E-5,         -3.33957E-7
          2.60000E-2,          0.00000E+0,         2.10528E-10,        -1.48504E-12,          2.60000E-2,          0.00000E+0,          5.26320E-5,         -3.71260E-7
          2.80000E-2,          0.00000E+0,         2.12276E-10,        -9.73450E-13,          2.80000E-2,          0.00000E+0,          5.30690E-5,         -2.43363E-7
          3.00000E-2,          0.00000E+0,         2.11565E-10,        -1.42109E-12,          3.00000E-2,          0.00000E+0,          5.28913E-5,         -3.55272E-7
          3.20000E-2,          0.00000E+0,         2.14059E-10,        -5.96859E-13,          3.20000E-2,          0.00000E+0,          5.35147E-5,         -1.49215E-7
          3.40000E-2,          0.00000E+0,         2.14833E-10,        -6.46597E-13,          3.40000E-2,          0.00000E+0,          5.37082E-5,         -1.61649E-7
          3.60000E-2,          0.00000E+0,         2.15594E-10,        -1.05161E-12,          3.60000E-2,          0.00000E+0,          5.38985E-5,         -2.62903E-7
          3.80000E-2,          0.00000E+0,         2.17008E-10,         1.56320E-13,          3.80000E-2,          0.00000E+0,          5.42520E-5,          3.90800E-8
          4.00000E-2,          0.00000E+0,         2.17512E-10,        -9.80556E-13,          4.00000E-2,          0.00000E+0,          5.43780E-5,         -2.45139E-7
          4.20000E-2,          0.00000E+0,         2.17597E-10,        -1.76215E-12,          4.20000E-2,          0.00000E+0,          5.43992E-5,         -4.40537E-7
          4.40000E-2,          0.00000E+0,         2.17313E-10,        -1.67689E-12,          4.40000E-2,          0.00000E+0,          5.43282E-5,         -4.19222E-7
          4.60000E-2,          0.00000E+0,         2.19246E-10,        -5.68438E-13,          4.60000E-2,          0.00000E+0,          5.48115E-5,         -1.42110E-7
          4.80000E-2,          0.00000E+0,         2.21946E-10,        -1.96111E-12,          4.80000E-2,          0.00000E+0,          5.54865E-5,         -4.90278E-7
          5.00000E-2,          0.00000E+0,         2.21662E-10,        -1.67689E-12,          5.00000E-2,          0.00000E+0,          5.54155E-5,         -4.19222E-7
          5.20000E-2,          0.00000E+0,         2.30757E-10,        -5.68438E-13,          5.20000E-2,          0.00000E+0,          5.76892E-5,         -1.42110E-7
          5.40000E-2,          0.00000E+0,         2.34168E-10,        -8.52655E-13,          5.40000E-2,          0.00000E+0,          5.85420E-5,         -2.13164E-7
          5.60000E-2,          0.00000E+0,         2.38517E-10,        -7.95811E-13,          5.60000E-2,          0.00000E+0,          5.96292E-5,         -1.98953E-7
          5.80000E-2,          0.00000E+0,         2.46191E-10,        -1.10845E-12,          5.80000E-2,          0.00000E+0,          6.15478E-5,         -2.77112E-7
          6.00000E-2,          0.00000E+0,         2.55882E-10,        -1.59162E-12,          6.00000E-2,          0.00000E+0,          6.39705E-5,         -3.97905E-7
          6.20000E-2,          0.00000E+0,         2.55513E-10,        -4.54751E-13,          6.20000E-2,          0.00000E+0,          6.38783E-5,         -1.13688E-7
          6.40000E-2,          0.00000E+0,         2.63613E-10,        -9.37923E-13,          6.40000E-2,          0.00000E+0,          6.59032E-5,         -2.34481E-7
          6.60000E-2,          0.00000E+0,         2.73049E-10,        -1.13688E-13,          6.60000E-2,          0.00000E+0,          6.82623E-5,         -2.84220E-8
          6.80000E-2,          0.00000E+0,         2.80581E-10,        -5.11594E-13,          6.80000E-2,          0.00000E+0,          7.01452E-5,         -1.27899E-7
          7.00000E-2,          0.00000E+0,         2.92347E-10,        -4.54751E-13,          7.00000E-2,          0.00000E+0,          7.30867E-5,         -1.13688E-7
          7.20000E-2,          0.00000E+0,         2.96668E-10,        -1.05161E-12,          7.20000E-2,          0.00000E+0,          7.41670E-5,         -2.62903E-7
          7.40000E-2,          0.00000E+0,         3.04086E-10,        -7.10546E-13,          7.40000E-2,          0.00000E+0,          7.60215E-5,         -1.77637E-7
          7.60000E-2,          0.00000E+0,         3.11475E-10,        -1.56320E-12,          7.60000E-2,          0.00000E+0,          7.78687E-5,         -3.90800E-7
          7.80000E-2,          0.00000E+0,         3.13067E-10,        -1.05161E-12,          7.80000E-2,          0.00000E+0,          7.82667E-5,         -2.62903E-7
          8.00000E-2,          0.00000E+0,         3.16904E-10,        -1.22214E-12,          8.00000E-2,          0.00000E+0,          7.92260E-5,         -3.05535E-7
          8.20000E-2,          0.00000E+0,         3.22389E-10,        -1.13688E-12,          8.20000E-2,          0.00000E+0,          8.05973E-5,         -2.84220E-7
          8.40000E-2,          0.00000E+0,         3.25203E-10,        -1.98953E-13,          8.40000E-2,          0.00000E+0,          8.13007E-5,         -4.97382E-8
          8.60000E-2,          0.00000E+0,         3.22617E-10,        -1.42109E-12,          8.60000E-2,          0.00000E+0,          8.06542E-5,         -3.55272E-7
