# Datum / Zeit: (Anfang) 24.04.2014 11:52:54 (Ende)  24.04.2014 12:01:59
#
# Einstellungen: 
# Start:      AUX1 -0.150000 V 
# End1:       AUX1 0.590000 V 
# Step1:      AUX1 0.020000 V 
# Holdtime:   AUX1 5000.000000 ms (Wartezeit nach dem Einstellen; automatisch erhöhen)
#
# aktuell:    AUX2 0.000000 V 
# Start:      AUX2 0.000000 V 
# End1:       AUX2 0.000000 V 
# Step1:      AUX2 0.000000 V 
# Holdtime:   AUX2 5001.000000 ms (Abstand der Datenpunkte)
#
#
#
#
#
#
#
#
#
# AUX3: 0.000000 V
# AUX4: 0.000000 V
#
# B-Feld nicht abwarten; B-Feld nicht abschalten
#
# time constant: 1.000000 s
# sensitivity: 1mV/nA
# dyn reserve: high reserve
# slope: 18 dB/oct
# sync filter: off
# line filter: off
#
# Input:  I (1E+6)
# ground: float
# couple: AC
#
# Lock-In - automeasure: off
# ref. phase.: -46.72
# ref. source: intern
# osc. harm#: 1.000000
# osc. freq.: 433.000000
# osc. ampl.: 0.004000
# ref. trigger: sine
#
# Channel 1
# display: R
# ratio: none
# output: X
#
# Channel 2
# display: Y
# ratio: none
# output: Y
#
# off. & exp.
# X:  offset = 0.000000;  expand = none
# Y:  offset = 0.000000;  expand = none
# R:  offset = 0.000000;  expand = none
#
# Spannungsteilerfaktor Aux1:        Kein Teiler verwendet
# Spannungsteilerfaktor Aux2:        Kein Teiler verwendet
# Spannungsteilerfaktor Aux3:        Kein Teiler verwendet
# Spannungsteilerfaktor Aux4:        Kein Teiler verwendet
#
# Spannungsteilerfaktor Osc. Ampl.:  100.000000
# Spannungsteilerfaktor Messeingang: 10.000000
#
# Korrektur von Aux1 (Aux1' = Aux1 + X*Aux2*(Teiler Aux1/Teiler Aux2) mit  X = 0; keine Korrektur
# Korrektur von Aux2 (Aux2' = Aux2 + X*Aux1*(Teiler Aux2/Teiler Aux1) mit  X = 0; keine Korrektur
#
#
#
#
#
#
#
# Bemerkungen: keine Bemerkungen
#
#
#
#
#
#
#
#
#
#               Aux1,                Aux2,           Betrag(I),               Im(I),               Aux1',               Aux2',          Betrag(I)',              Im(I)'
#                 U1,                  U2,           Betrag(I),               Im(I),           U1/Teiler,           U2/Teiler,  Betrag(I)/osc.Ampl,      Im(I)/osc.Ampl
         -1.50000E-1,          0.00000E+0,         4.45701E-13,         1.45079E-13,         -1.50000E-1,          0.00000E+0,          1.11425E-7,          3.62697E-8
         -1.30000E-1,          0.00000E+0,         3.34706E-13,        -2.89104E-13,         -1.30000E-1,          0.00000E+0,          8.36765E-8,         -7.22760E-8
         -1.10000E-1,          0.00000E+0,         4.88224E-13,        -3.51804E-13,         -1.10000E-1,          0.00000E+0,          1.22056E-7,         -8.79510E-8
         -9.00000E-2,          0.00000E+0,         3.53164E-13,        -3.53191E-13,         -9.00000E-2,          0.00000E+0,          8.82910E-8,         -8.82977E-8
         -7.00000E-2,          0.00000E+0,         4.35986E-13,         7.78826E-14,         -7.00000E-2,          0.00000E+0,          1.08996E-7,          1.94707E-8
         -5.00000E-2,          0.00000E+0,         1.35125E-10,        -9.83040E-11,         -5.00000E-2,          0.00000E+0,          3.37812E-5,         -2.45760E-5
         -3.00000E-2,          0.00000E+0,         2.63926E-10,        -1.92359E-10,         -3.00000E-2,          0.00000E+0,          6.59815E-5,         -4.80897E-5
         -1.00000E-2,          0.00000E+0,         2.88908E-10,        -2.10520E-10,         -1.00000E-2,          0.00000E+0,          7.22270E-5,         -5.26300E-5
          1.00000E-2,          0.00000E+0,         3.18694E-10,        -2.32235E-10,          1.00000E-2,          0.00000E+0,          7.96735E-5,         -5.80587E-5
          3.00000E-2,          0.00000E+0,         4.77119E-10,        -3.47656E-10,          3.00000E-2,          0.00000E+0,          1.19280E-4,         -8.69140E-5
          5.00000E-2,          0.00000E+0,         5.48372E-10,        -3.99384E-10,          5.00000E-2,          0.00000E+0,          1.37093E-4,         -9.98460E-5
          7.00000E-2,          0.00000E+0,         5.58945E-10,        -4.07114E-10,          7.00000E-2,          0.00000E+0,          1.39736E-4,         -1.01778E-4
          9.00000E-2,          0.00000E+0,         6.02203E-10,        -4.38549E-10,          9.00000E-2,          0.00000E+0,          1.50551E-4,         -1.09637E-4
          1.10000E-1,          0.00000E+0,         7.34762E-10,        -5.35071E-10,          1.10000E-1,          0.00000E+0,          1.83690E-4,         -1.33768E-4
          1.30000E-1,          0.00000E+0,         7.97744E-10,        -5.80830E-10,          1.30000E-1,          0.00000E+0,          1.99436E-4,         -1.45208E-4
